Date,Close_honda,Close_nisan,Close_tesla,Close_ford
1980-03-17,0.8936,,,1.196
1980-03-18,0.909,,,1.181
1980-03-19,0.9,,,1.191
1980-03-20,0.9,,,1.201
1980-03-21,0.9,,,1.1455
1980-03-24,0.9033,4.34,,1.105
1980-03-25,0.925,4.34,,1.12
1980-03-26,0.9033,4.34,,1.125
1980-03-27,0.8877,4.44,,1.141
1980-03-28,0.8877,4.46,,1.171
1980-03-31,0.9404,4.46,,1.181
1980-04-01,0.9,4.46,,1.171
1980-04-02,0.8877,4.46,,1.166
1980-04-03,0.878,4.46,,1.136
1980-04-07,0.909,4.277,,1.074
1980-04-08,0.9126,4.277,,1.049
1980-04-09,0.909,4.42,,1.034
1980-04-10,0.9346,4.42,,1.1
1980-04-11,0.944,4.42,,1.069
1980-04-14,0.95,4.42,,1.039
1980-04-15,0.95,4.42,,1.069
1980-04-16,0.95,4.42,,1.06
1980-04-17,0.944,4.42,,1.019
1980-04-18,0.956,4.42,,0.943
1980-04-21,0.956,4.42,,0.892
1980-04-22,0.966,4.42,,0.953
1980-04-23,0.9624,4.42,,0.9375
1980-04-24,1.003,4.42,,0.9834
1980-04-25,1.003,4.42,,1.004
1980-04-28,1.028,4.42,,0.963
1980-04-29,1.037,4.63,,0.973
1980-04-30,1.031,4.63,,0.9883
1980-05-01,1.031,4.63,,0.9683
1980-05-02,1.031,4.63,,0.943
1980-05-05,1.031,4.63,,0.892
1980-05-06,1.031,4.793,,0.872
1980-05-07,1.037,4.793,,0.9224
1980-05-08,1.044,4.668,,0.9326
1980-05-09,1.031,4.668,,0.9326
1980-05-12,1.031,4.668,,0.958
1980-05-13,1.037,4.668,,0.973
1980-05-14,1.044,4.668,,0.9834
1980-05-15,1.044,4.668,,0.963
1980-05-16,1.021,4.668,,0.9375
1980-05-19,1.021,4.668,,0.9478
1980-05-20,1.021,4.668,,0.9785
1980-05-21,1.028,4.668,,0.9785
1980-05-22,1.028,4.668,,1.023
1980-05-23,1.075,4.668,,1.023
1980-05-27,1.084,4.668,,1.023
1980-05-28,1.068,4.668,,1.019
1980-05-29,1.06,4.668,,0.9937
1980-05-30,1.084,4.668,,0.9937
1980-06-02,1.094,4.668,,1.009
1980-06-03,1.075,4.668,,1.009
1980-06-04,1.06,4.668,,0.9937
1980-06-05,1.06,4.668,,0.9937
1980-06-06,1.06,4.668,,0.9937
1980-06-09,1.068,4.668,,0.9683
1980-06-10,1.053,4.668,,0.9785
1980-06-11,1.075,5.0,,0.973
1980-06-12,1.075,5.0,,0.9326
1980-06-13,1.075,5.0,,0.963
1980-06-16,1.075,5.0,,0.9883
1980-06-17,1.075,5.0,,0.9785
1980-06-18,1.075,5.0,,0.9683
1980-06-19,1.106,5.0,,0.963
1980-06-20,1.084,5.0,,0.973
1980-06-23,1.094,5.0,,0.9683
1980-06-24,1.075,5.0,,0.9937
1980-06-25,1.053,5.0,,1.014
1980-06-26,1.053,5.0,,0.9937
1980-06-27,1.053,5.0,,1.009
1980-06-30,1.06,5.0,,0.9985
1980-07-01,1.044,5.043,,1.009
1980-07-02,1.044,5.043,,1.014
1980-07-03,1.05,5.043,,1.019
1980-07-07,1.05,4.918,,1.014
1980-07-08,1.044,4.918,,1.014
1980-07-09,1.037,4.793,,1.014
1980-07-10,1.053,4.793,,1.08
1980-07-11,1.044,4.793,,1.074
1980-07-14,1.037,4.793,,1.15
1980-07-15,1.05,4.754,,1.1455
1980-07-16,1.053,4.754,,1.136
1980-07-17,1.053,4.754,,1.155
1980-07-18,1.05,4.754,,1.15
1980-07-21,1.044,4.754,,1.155
1980-07-22,1.037,4.754,,1.141
1980-07-23,1.013,4.754,,1.125
1980-07-24,1.028,4.754,,1.08
1980-07-25,1.031,4.754,,1.055
1980-07-28,1.019,4.69,,1.029
1980-07-29,1.013,4.69,,1.085
1980-07-30,1.019,4.69,,1.1
1980-07-31,1.031,4.69,,1.155
1980-08-01,1.021,4.586,,1.136
1980-08-04,1.037,4.586,,1.136
1980-08-05,1.037,4.586,,1.115
1980-08-06,1.031,4.586,,1.12
1980-08-07,1.031,4.586,,1.1455
1980-08-08,1.05,4.586,,1.136
1980-08-11,1.068,4.586,,1.13
1980-08-12,1.091,4.586,,1.12
1980-08-13,1.094,4.71,,1.125
1980-08-14,1.094,4.71,,1.1455
1980-08-15,1.091,4.71,,1.136
1980-08-18,1.091,4.71,,1.125
1980-08-19,1.084,4.71,,1.12
1980-08-20,1.084,4.812,,1.161
